"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 3 F-Dur f.2 Oboen,Streicher u.B.c.",,"11,55",Oboe,Holliger,,I Musici,, 1763,Ph 9502 042,,,29
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 4 C-Dur f.Oboe,Streicher u.B.c.",,"8,50",Oboe,Winschermann,Winschermann,Dt.Bachsolisten,,  837,None 71148,,,30
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 5 C-Dur f.Oboe,Streicher u.B.c.",,"0,00",Oboe,Hucke,Muller-Bruhl,Kolner Kamorch.,, 1258,Schw  2 045,,,31
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 6 G-Dur f.2 Oboen,Streicher u.B.c.",,"10,04",Oboe,Holliger,,I Musici,, 1763,Ph 9502 042,,,32
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 8 g-moll f.Oboe,Streicher u.B.c.",,"10,59",Oboe,Driehuys,,I Musici,,  535,Ph  900 147,,,33
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr. 9 C-Dur f.2 Oboen,Streicher u.B.c.",,"11,03",Oboe,Holliger,,I Musici,, 1763,Ph 9502 042,,,34
"ALBINONI, Tommaso",1671-1750,Concerti Op.9 Nr.1-12 (Sonaten a 5),,"Nr.12 D-Dur f.2 Oboen,Streicher u.B.c.",,"7,30",Oboe,Holliger,,I Musici,, 1763,Ph 9502 042,,,35
"ALBINONI, Tommaso",1671-1750,Konzerte f.Trompete u.Streicher (od.Orgel),(Bearbeitungen),"C-Dur f.Trompete,3 Oboen,Fagott u.B.c.",,"9,10",Trompete,Guttler,Rogner,Kamorch.Berlin,, 1131,Et 826 684,,,36
"ALBINONI, Tommaso",1671-1750,Konzerte f.Trompete u.Streicher (od.Orgel),(Bearbeitungen),"C-Dur f.Trompete,Streicher u.B.c.",,"7,25",Trompete,Tarr,Faerber,Wurtt.Kamorch.Heilbr.,, 1058,FSM 34057,,,37
"ALBINONI, Tommaso",1671-1750,Sinfoniae,,Nr.5 D-Dur,,"10,45",,,Warchal,Slovak.Kamorch.,,  786,Supra  1 10 1046,,,38
