"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 54 G-Dur,,"27,00",,,Dorati,Philh.Hungarica,,Q 452,Dec 425 915-2,,,2652
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 54 G-Dur,,"22,13",,,Jones,Little Orch.of London,,  261,None 71106,,,2653
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 54 G-Dur,,"26,14",,,Tatrai,Ungar.Kamorch.,, 1482,Hun 11497,,,2654
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 55 Es-Dur (Schulmeister),,"0,00",,,Otterloo,Residentie Orch.Haag,,  100,DG  138 825,,,2709
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 55 Es-Dur (Schulmeister),,"0,00",,,Benzi,Orch.Lamoureux,,  149,Ph  835 117,,,2710
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 55 Es-Dur (Schulmeister),,"22,30",,,Dorati,Philh.Hungarica,,Q 452,Dec 425 915-2,,,2657
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 56 C-Dur,,"25,30",,,Dorati,Philh.Hungarica,,Q 452,Dec 425 915-2, 51,,2658
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 56 C-Dur,,"28,15",,,Tatrai,Ungar.Kamorch.,, 1482,Hun 11497,,,2659
"JONGEN, Joseph",1873-1953,Allegro appassionato Op.79 (1925),f.Viola u.Orchester,,,"8,02",Viola,Gilissen,Priestman,RTBF-Sinf.Orch.Brussel,,Q 573,Ko 31 501-2,,,2660
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 57 D-Dur (Morgen),,"0,00",,,Goldberg,Niederl.Kamorch.,,  159,Ph    2 066,,,2715
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 57 D-Dur (Morgen),,"0,00",,,Rudolf,Cincinnati Symph.Orch.,,  423,Dec 710 107,,,2716
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 57 D-Dur (Morgen),,"22,40",,,Dorati,Philh.Hungarica,,Q 453,Dec 425 915-2,,,2663
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 58 F-Dur,,"16,50",,,Dorati,Philh.Hungarica,,Q 453,Dec 425 915-2,,,2664
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 59 A-Dur (Feuer-Sinfonie),,"16,55",,,Dorati,Philh.Hungarica,,Q 453,Dec 425 915-2,,,2665
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 59 A-Dur (Feuer-Sinfonie),,"20,37",,,Blum,Esterhazy Orch.,,  404,Van 71161,,,2666
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 59 A-Dur (Feuer-Sinfonie),,"0,00",,,Rilling,Bach Colleg.Stgt.,, 1724,FSM 34104,,,2721
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 60 C-Dur (Il Distrato (Der Zerstreute)),,"25,42",,,Blum,Esterhazy Orch.,,  401,Van  1105,,,2668
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 60 C-Dur (Il Distrato (Der Zerstreute)),,"0,00",,,Brusilow,Kamorch.Philadelphia,,  509,RCA  2088,,,2723
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 60 C-Dur (Il Distrato (Der Zerstreute)),,"24,40",,,Dorati,Philh.Hungarica,,Q 454,Dec 425 920-2,,,2670
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 61 D-Dur,,"22,35",,,Dorati,Philh.Hungarica,,Q 454,Dec 425 920-2,,,2671
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 61 D-Dur,,"24,21",,,Jones,Little Orch.of London,,  262,None 71168,,,2672
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 62 D-Dur,,"19,45",,,Dorati,Philh.Hungarica,,Q 454,Dec 425 920-2,,,2673
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 63 C-Dur (La Roxelane),,"19,36",,,Dorati,Philh.Hungarica,,Q 455,Dec 425 920-2,,,2674
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 63 C-Dur (La Roxelane),,"0,00",,,Muller-Bruhl,Kolner Kamorch.,,  366,Schw  2 013,,,2729
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 63 C-Dur (La Roxelane),,"19,55",,,Rudolf,Wiener Rd.Orch.,,  689,Msgld 862,,,2676
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 63 C-Dur (La Roxelane),-(1.Fassung),"18,58",,,Dorati,Philh.Hungarica,, 1492 (8LP),Dec 6.35244,,,2677
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 64 A-Dur,,"20,49",,,Dorati,Philh.Hungarica,,Q 455,Dec 425 920-2,,,2678
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 64 A-Dur,,"15,47",,,Jones,Little Orch.of London,,  255,None 71121,,,2679
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 64 A-Dur,,"0,00",,,Muller-Bruhl,Kolner Kamorch.,, 1410,Schw  1 200,,,2734
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 65 A-Dur,,"17,27",,,Dorati,Philh.Hungarica,,Q 455,Dec 425 920-2,141,,2681
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 66 B-Dur,,"21,49",,,Dorati,Philh.Hungarica,,Q 456,Dec 425 920-2,,,2682
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 67 F-Dur,,"23,43",,,Muller-Bruhl,Kolner Kamorch.,,  641,Mace 9032,,,2683
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 67 F-Dur,,"25,21",,,Dorati,Philh.Hungarica,,Q 456,Dec 425 920-2,,,2684
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 67 F-Dur,,"25,40",,,Tatrai,Ungar.Kamorch.,, 1483,Hun 11571,,,2685
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 68 B-Dur,,"20,24",,,Tatrai,Ungar.Kamorch.,, 1483,Hun 11571,,,2686
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 68 B-Dur,,"20,38",,,Dorati,Philh.Hungarica,,Q 456,Dec 425 920-2,,,2687
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 69 C-Dur (London),,"15,45",,,Dorati,Philh.Hungarica,,Q 457,Dec 425 920-2,,,2688
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 70 D-Dur,,"15,03",,,Dorati,Philh.Hungarica,,Q 457,Dec 425 920-2,,,2689
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 70 D-Dur,,"19,36",,,Blum,Esterhazy Orch.,,  404,Van 71161, 24,,2690
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 71 B-Dur,,"22,36",,,Dorati,Philh.Hungarica,,Q 457,Dec 425 920-2,,,2691
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 72 D-Dur (Jagd-Sinfonie),,"22,33",,,Dorati,Philh.Hungarica,,Q 458,Dec 425 925-2,,,2692
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 72 D-Dur (Jagd-Sinfonie),,"0,00",,,Muller-Bruhl,Kolner Kamorch.,,  372,Schw  1 008, 12,,2747
"HERTEL, Johann Wilhelm",1727-1789,Konzerte f.Oboe u.Orchester,,Nr. 9 c-moll,,"20,51",Oboe,Glaetzner,Glaetzner,Neues Bach Colleg.Musicum,,Q 538,DSB 110 009,,,2694
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 73 D-Dur La Chasse (Die Jagd),,"19,39",,,Blum,Esterhazy Orch.,,  402,Van  1123,,,2695
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 73 D-Dur La Chasse (Die Jagd),,"0,00",,,,Prager Kamorch.,,  951,Supra   50446,129,,2750
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 73 D-Dur La Chasse (Die Jagd),,"24,45",,,Dorati,Philh.Hungarica,,Q 458,Dec 425 925-2,,,2697
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 74 Es-Dur,,"21,01",,,Dorati,Philh.Hungarica,,Q 458,Dec 425 925-2,,,2698
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 75 D-Dur,,"20,15",,,Dorati,Philh.Hungarica,,Q 459,Dec 425 925-2, 63,,2699
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 75 D-Dur,,"20,20",,,Blum,Esterhazy Orch.,,  403,Van  1138,,,2700
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 75 D-Dur,,"16,29",,,Jones,Little Orch.of London,,  261,None 71106,,,2701
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 76 Es-Dur,,"24,30",,,Dorati,Philh.Hungarica,,Q 459,Dec 425 925-2,104,,2702
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 77 As-Dur,,"18,15",,,Dorati,Philh.Hungarica,,Q 459,Dec 425 925-2,144,,2703
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 77 As-Dur,,"21,10",,,Jones,Little Orch.of London,,  262,None 71168,,,2704
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 78 c-moll,,"19,10",,,Dorati,Philh.Hungarica,,Q 460,Dec 425 925-2,,,2705
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 79 F-Dur,,"21,35",,,Dorati,Philh.Hungarica,,Q 460,Dec 425 925-2,,,2706
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 80 d-moll,,"21,00",,,Dorati,Philh.Hungarica,,Q 460,Dec 425 925-2,,,2707
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 80 d-moll,,"19,55",,,Jones,Little Orch.of London,,  259,None 71131,,,2708
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 81 G-Dur,,"26,09",,,Blum,Esterhazy Orch.,,  403,Van  1138,,,2709
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 81 G-Dur,,"24,35",,,Dorati,Philh.Hungarica,,Q 461,Dec 425 925-2,,,2710
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 82 C-Dur L'Ours (Der Bar),,"23,51",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2711
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 82 C-Dur L'Ours (Der Bar),,"17,40",,,Wand,Gurzenich S.O.Koln,,  257,None 71101,,,2712
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 82 C-Dur L'Ours (Der Bar),,"0,00",,,Ansermet,Orch.Suisse Romande,,  740 (3LP),Lon  2306, 52,,2767
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 83 g-moll La Poule (Die Henne),,"0,00",,,Ansermet,Orch.Suisse Romande,,  740 (3LP),Lon  2306,,,2768
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 83 g-moll La Poule (Die Henne),,"27,13",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2715
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 84 Es-Dur,,"26,13",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2716
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 84 Es-Dur,,"0,00",,,Ansermet,Orch.Suisse Romande,,  740 (3LP),Lon  2306,,,2771
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 85 B-Dur La Reine (Die Konigin),,"0,00",,,Ansermet,Orch.Suisse Romande,,  740 (3LP),Lon  2306,,,2772
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 85 B-Dur La Reine (Die Konigin),,"21,22",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2719
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 85 B-Dur La Reine (Die Konigin),,"0,00",,,Benzi,Orch.Lamoureux,,  149,Ph  835 117, 14,,2774
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 86 D-Dur,,"27,39",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2721
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 86 D-Dur,,"0,00",,,Rudolf,Cincinnati Symph.Orch.,,  423,Dec 710 107, 21,,2776
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 86 D-Dur,,"0,00",,,Ansermet,Orch.Suisse Romande,,  740 (3LP),Lon  2306,,,2777
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 87 A-Dur,,"0,00",,,Ansermet,Orch.Suisse Romande,,  740 (3LP),Lon  2306,,,2778
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 87 A-Dur,,"24,45",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2725
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 88 G-Dur,,"22,32",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2726
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 88 G-Dur,,"0,00",,,Jochum,Berliner Philharm.,,  128,DG  138 823, 70,,2781
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 88 G-Dur,,"21,36",,,Walter,Columbia Symph.Orch.,,  204,CBS   6486,,,2728
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 88 G-Dur,,"21,04",,,Reiner,Chicago Symph.Orch.,,Q 641,RCA BMG 60729-2,,,2729
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 88 G-Dur,,"19,25",,,,Prager Kamorch.,,  780,Supra   50922,,,2730
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 89 F-Dur,,"19,49",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2731
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 90 C-Dur,,"26,07",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,  4,,2732
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 91 Es-Dur,,"24,11",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2733
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 91 Es-Dur,,"0,00",,,Jochum,Sinf.Orch.Bayer.Rdf.,,   76,DG  138 007,,,2788
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 91 Es-Dur,,"24,57",,,Rudolf,Cincinnati Symph.Orch.,, 1551,Dec 710 173,122,,2735
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 92 G-Dur (Oxford),,"25,45",,,Szell,Cleveland Orch.,,  203,Epic 1156,,,2736
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 92 G-Dur (Oxford),,"28,01",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2737
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 92 G-Dur (Oxford),,"25,55",,,Dixon,Prager Kamorch.,, 1144,Supra  1 10 1202,,,2738
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 93 D-Dur,,"25,34",,,Scherchen,Orch.Wien.Staatsop.,,  221 (3LP),West  1002,,,2739
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 93 D-Dur,,"23,15",,,Beecham,Royal Philh.Orch.,,  267,Ang 36242,,,2740
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 93 D-Dur,,"23,39",,,Dorati,Philh.Hungarica,,Q 465,Dec 425 930-2,,,2741
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"22,13",,,Dorati,Philh.Hungarica,,Q 465,Dec 425 930-2,,,2742
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"0,00",,,Richter,Berliner Philharm.,,   80,DG  138 782, 38,,2797
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"24,26",,,Scherchen,Orch.Wien.Staatsop.,,  221 (3LP),West  1002,,,2744
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"22,33",,,Beecham,Royal Philh.Orch.,,  267,Ang 36242,,,2745
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"0,00",,,Giulini,Philharm.Orch.,,  491,Ang 35712,,,2800
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"0,00",,,Turnovsky,Prager Sinf.Orch.,,  782,Supra   50572,,,2801
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"25,09",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,2748
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"25,20",,,Richter,Berliner Philharm.,, 1704,DG 2535 289,,,2749
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"25,20",,,Richter,Berliner Philharm.,, 1576 (2LP),DG 2726 036,,,2750
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 94 G-Dur (M.d.Paukenschlag/The Surprise),,"0,00",,,Krips,Wiener Philharm.,, 1613,Lon  6027,,,2805
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 95 c-moll,,"20,00",,,Scherchen,Orch.Wien.Staatsop.,,  221 (3LP),West  1002,,,2752
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 95 c-moll,,"19,32",,,Beecham,Royal Philh.Orch.,,  492,Ang 36243,,,2753
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 95 c-moll,,"29,48",,,Reiner,Chicago Symph.Orch.,,Q 641,RCA BMG 60729-2, 12,,2754
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 95 c-moll,,"22,18",,,Dorati,Philh.Hungarica,,Q 465,Dec 425 930-2,,,2755
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 96 D-Dur (The Miracle),,"22,10",,,Dorati,Philh.Hungarica,,Q 466,Dec 425 935-2,101,,2756
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 96 D-Dur (The Miracle),,"20,39",,,Scherchen,Orch.Wien.Staatsop.,,  221 (3LP),West  1002,,,2757
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 26 d-moll (Lamentatione),,"12,24",,,Haenchen,Kamorch.C.Ph.E.Bach,,Q 539,DSB 110 013,,,2758
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 96 D-Dur (The Miracle),,"0,00",,,,Prager Kamorch.,,  951,Supra   50446,,,2813
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 96 D-Dur (The Miracle),,"21,35",,,Beecham,Royal Philh.Orch.,,  492,Ang 36243,,,2760
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 97 C-Dur,,"0,00",,,Szell,Cleveland Orch.,,Q 835,Sony CD 62 979,,,2815
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 97 C-Dur,,"24,12",,,Scherchen,Orch.Wien.Staatsop.,,  221 (3LP),West  1002,,,2762
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 97 C-Dur,,"23,43",,,Beecham,Royal Philh.Orch.,,  493,Ang 36244,,,2763
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 97 C-Dur,,"24,20",,,Dorati,Philh.Hungarica,,Q 466,Dec 425 935-2,,,2764
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 98 B-Dur,,"27,56",,,Dorati,Philh.Hungarica,,Q 466,Dec 425 935-2,,,2765
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 98 B-Dur,,"27,52",,,Scherchen,Orch.Wien.Staatsop.,,  221 (3LP),West  1002,,,2766
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 98 B-Dur,,"0,00",,,Jochum,Berliner Philharm.,,  128,DG  138 823,,,2821
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 98 B-Dur,,"25,21",,,Beecham,Royal Philh.Orch.,,  493,Ang 36244,,,2768
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 99 Es-Dur,,"0,00",,,Woldike,Orch.Wien.Staatsop.,,  205,Van   129,,,2823
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 99 Es-Dur,,"0,00",,,Szell,Cleveland Orch.,,Q 835,Sony CD 62 979,,,2824
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 99 Es-Dur,,"0,00",,,Krips,Wiener Philharm.,, 1613,Lon  6027,,,2825
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr. 99 Es-Dur,,"25,58",,,Dorati,Philh.Hungarica,,Q 467,Dec 425 935-2,,,2772
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.100 G-Dur (Militar-Sinfonie),,"23,26",,,Dorati,Philh.Hungarica,,Q 467,Dec 425 935-2,,,2773
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.100 G-Dur (Militar-Sinfonie),,"26,01",,,Walter,Columbia Symph.Orch.,,  204,CBS   6486,,,2774
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.101 D-Dur (Die Uhr),,"0,00",,,Richter,Berliner Philharm.,,   80,DG  138 782,,,2829
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.101 D-Dur (Die Uhr),,"21,23",,,Reiner,Chicago Symph.Orch.,,Q 641,RCA BMG 60729-2,,,2776
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.101 D-Dur (Die Uhr),,"0,00",,,Turnovsky,Prager Sinf.Orch.,,  782,Supra   50572,,,2831
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.101 D-Dur (Die Uhr),,"24,30",,,Richter,Berliner Philharm.,, 1704,DG 2535 289,,,2778
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.101 D-Dur (Die Uhr),,"28,50",,,Horenstein,Pro Musica Wien,, 1672,FSM Vox   9 330,,,2779
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.101 D-Dur (Die Uhr),,"29,04",,,Dorati,Philh.Hungarica,,Q 468,Dec 425 935-2,,,2780
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.102 b-moll,,"0,00",,,Woldike,Orch.Wien.Staatsop.,,  205,Van   129,,,2835
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.102 b-moll,,"24,45",,,Rudolf,Cincinnati Symph.Orch.,, 1551,Dec 710 173,,,2782
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.102 b-moll,,"25,24",,,Dorati,Philh.Hungarica,,Q 468,Dec 425 935-2,,,2783
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.103 Es-Dur (mit dem Paukenwirbel),,"29,01",,,Dorati,Philh.Hungarica,,Q 469,Dec 425 935-2,,,2784
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.103 Es-Dur (mit dem Paukenwirbel),,"0,00",,,Jochum,Orch.Bayer.Rdf.,,   76,DG  138 007,,,2839
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.103 Es-Dur (mit dem Paukenwirbel),,"0,00",,,Woldike,Orch.Wien.Staatsop.,,  264,Van   166,,,2840
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.103 Es-Dur (mit dem Paukenwirbel),,"27,25",,,,Prager Kamorch.,,  780,Supra   50922,,,2787
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.104 D-Dur (Salomon-Sinfonie),,"0,00",,,Celibidache,Berliner Philharm.,, 1287 (3LP),Cet 533,,,2842
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.104 D-Dur (Salomon-Sinfonie),,"29,10",,,Horenstein,Pro Musica Wien,, 1672,FSM Vox   9 330,,,2789
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.104 D-Dur (Salomon-Sinfonie),,"28,38",,,Dorati,Philh.Hungarica,,Q 469,Dec 425 935-2,,,2790
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,"Nr.105 B-Dur (Sinfonia concertante f.Violine,","V'cello,Oboe,Fagott u.Streicher)","0,00",,,Ormandy,Philadelphia Orch.,,   89,CBS   6061,,,2845
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,"Nr.105 B-Dur (Sinfonia concertante f.Violine,","V'cello,Oboe,Fagott u.Streicher)","21,09",,,Scherchen,Wiener Rd.Orch.,,  301,West 17100, 18,,2792
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,"Nr.105 B-Dur (Sinfonia concertante f.Violine,","V'cello,Oboe,Fagott u.Streicher)","24,17",,,Vaughan,Orch.of Napoles,,  374 (6LP),RCA  6805,,,2793
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,"Nr.105 B-Dur (Sinfonia concertante f.Violine,","V'cello,Oboe,Fagott u.Streicher)","0,00",,,Faerber,Wurtt.Kamorch.Heilbr.,, 1062,FSM 34418,,,2848
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,"Nr.105 B-Dur (Sinfonia concertante f.Violine,","V'cello,Oboe,Fagott u.Streicher)","21,17",,,Ristenpart,Saar Kamorch.,, 1621,None 71024,,,2795
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.106 B-Dur (A),,"14,10",,,Dorati,Philh.Hungarica,,Q 468,Dec 425 935-2,,,2796
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.108 B-Dur (B),,"13,00",,,Dorati,Philh.Hungarica,,Q 469,Dec 425 935-2,,,2797
"HAYDN, Joseph",1732-1809,Sinfonien H 1,,Nr.108 B-Dur (B),,"14,50",,,Rudolf,Wiener Rd.Orch.,,  689,Msgld 862,,,2798
"HAYDN, Joseph",1732-1809,La Vera Constanza H28:8 (List u.Liebe),Dramma giocoso i.3 Akten) Puttini u.Travaglia,Sinfonia,,"9,59",,,Hofmann,Mannheimer Sol.,,  355,None 71109,,,2799
"HAYDN, Joseph",1732-1809,Kindersinfonie H 2:27,,,,"9,31",,,Faerber,Wurtt.Kamorch.Heilbr.,,  251,FSM 34134,,,2800
"HAYDN, Joseph",1732-1809,Kindersinfonie H 2:27,,,,"0,00",,,Redel,Pro Arte Orch.Munchen,, 1084,RCA  8014,,,2855
"HAYDN, Joseph",1732-1809,Kindersinfonie H 2:27,,,,"0,00",,,Benzi,Orch.Lamoureux,,  149,Ph  835 117,,,2856
